,Name,City,State,School Ownership,Number of Undergraduate Students,Share of Female Students,Share of Male Students,Share of Undergraduates Aged 25 and Above,Average Age of Entry,Admission Rate,Completion Rate,Median Earnings of Students 10 Years After Entry,Median Debt for Students Who Have Completed,Share of Students Who Received a Federal Loan,Median Family Income,Average Cost of Attendance,Average Faculty Salary,Net Tuition Revenue per Student
684,Florida Institute of Technology,Melbourne,FL,2,3395,0.5243741765,0.47562582350000004,0.0798,28.0,0.6346,0.6033,56600.0,27000.0,0.8425559947,30032.0,57119.0,9446.0,22647
685,Fairleigh Dickinson University-Metropolitan Campus,Teaneck,NJ,2,3391,0.5880294015,0.41197059849999995,0.1997,22.0,0.8753,0.3896,48100.0,25000.0,0.8998949947,39799.0,48038.0,9115.0,18374
686,University of Puerto Rico-Aguadilla,Aguadilla,PR,1,3385,0.5503199535,0.44968004650000004,0.0537,19.0,0.7098,0.4181,,5500.0,0.1082024433,15989.0,8867.0,7090.0,452
687,Stevenson University,Stevenson,MD,2,3375,0.6609058403,0.3390941597,0.1513,21.0,0.6087,0.5404,49600.0,26905.0,0.9106078665,63596.0,47537.0,8332.0,16314
688,Samford University,Birmingham,AL,2,3364,0.6588785047,0.3411214953,0.0415,21.0,0.8319,0.7581,49900.0,20702.0,0.910046729,87745.0,44896.0,8580.0,18867
689,Olivet Nazarene University,Bourbonnais,IL,2,3356,0.6257142857,0.3742857143,0.1498,22.0,0.6617,0.6629,40400.0,25000.0,0.9542857143,66010.0,44939.0,7129.0,12801
690,Berkeley College-Woodland Park,Woodland Park,NJ,3,3342,0.7260160354,0.27398396459999996,0.4432,26.0,,0.3302,39600.0,17595.5,0.9308819464,21489.0,33042.0,6721.0,18934
691,University of Tulsa,Tulsa,OK,2,3316,0.4942084942,0.5057915058,0.0616,20.0,0.3895,0.6852,48500.0,26000.0,0.8211068211,56709.0,56173.0,10669.0,20400
692,Clark Atlanta University,Atlanta,GA,2,3302,0.762973352,0.23702664799999995,0.0506,19.0,0.5793,0.3976,35500.0,31000.0,0.9766245909,28746.0,37761.0,6946.0,17514
693,SUNY College at Potsdam,Potsdam,NY,1,3296,0.5830721003,0.4169278997,0.0524,20.0,0.666,0.5251,39700.0,25500.0,0.9226750261,40619.0,22692.0,6294.0,4522
694,Governors State University,University Park,IL,1,3288,0.6763241286,0.3236758714,0.5102,27.0,0.6556,,40800.0,18575.0,0.8107741059,20792.0,23545.0,6419.0,9180
695,Catholic University of America,Washington,DC,2,3284,0.5798319328,0.4201680672,0.0446,20.0,0.8258,0.7358,56800.0,26861.0,0.9477124183,114619.0,59591.0,9645.0,23131
696,University of Mary Hardin-Baylor,Belton,TX,2,3275,0.6331224842,0.36687751580000005,0.1557,22.0,0.7884,0.4833,44200.0,26500.0,0.9097182289,48296.0,38470.0,7869.0,18655
697,University of Houston-Victoria,Victoria,TX,1,3261,0.6554726368,0.3445273632,0.4892,26.0,0.4881,0.1838,41800.0,18829.0,0.7773631841,27090.0,19253.0,8240.0,6973
698,University of Maine at Augusta,Augusta,ME,1,3244,0.7263212977,0.2736787023,0.6086,29.0,,0.1705,27700.0,22500.0,0.7535321821,23539.0,17119.0,7543.0,5356
699,Goodwin College,East Hartford,CT,2,3240,0.8310487727,0.1689512273,0.6859,29.0,,0.2583,38300.0,31502.0,0.8817341409,28731.0,31754.0,5583.0,21606
700,Point Park University,Pittsburgh,PA,2,3230,0.630620985,0.36937901500000003,0.2173,23.0,0.6486,0.5471,37100.0,27000.0,0.9528907923,50701.0,41486.0,7947.0,15908
701,Hawaii Pacific University,Honolulu,HI,2,3228,0.6944190302,0.30558096980000005,0.3534,23.0,0.7468,0.4447,49900.0,23250.0,0.7996340348,42913.0,40185.0,8566.0,17847
702,Widener University,Chester,PA,2,3224,0.6059171598,0.39408284019999995,0.1071,21.0,0.6543,0.5709,53400.0,27000.0,0.9733727811,77624.0,58207.0,8458.0,19001
703,Rogers State University,Claremore,OK,1,3216,0.6272310046,0.37276899539999997,0.284,24.0,,0.166,34000.0,17000.0,0.7287098419,32701.0,18916.0,5257.0,5383
704,Endicott College,Beverly,MA,2,3197,0.6322008863,0.36779911369999996,0.0906,20.0,0.814,0.7512,51100.0,27000.0,0.9379615953,98646.0,48715.0,8537.0,16156
705,College of Coastal Georgia,Brunswick,GA,1,3190,0.6828644501,0.31713554990000004,0.2462,22.0,0.9469,0.1318,28300.0,17500.0,0.6710997442,29123.0,16672.0,5952.0,2604
706,Valparaiso University,Valparaiso,IN,2,3186,0.571043771,0.42895622899999997,0.0499,20.0,0.8428,0.7221,48500.0,27000.0,0.9461279461,70535.0,49398.0,7740.0,15338
707,Abraham Baldwin Agricultural College,Tifton,GA,1,3185,0.5739705135,0.42602948650000005,0.1081,21.0,0.7021,0.2282,32900.0,14681.5,0.7127605491,36087.0,13196.0,5482.0,3705
708,Seattle Central College,Seattle,WA,1,3174,0.5536723164,0.44632768359999997,0.4505,28.0,,0.2471,32300.0,10606.5,0.2721280603,15512.0,11531.0,7008.0,3998
709,Alcorn State University,Alcorn State,MS,1,3172,0.621548457,0.37845154299999995,0.1299,21.0,0.7861,0.3278,31100.0,29500.0,0.8852192745,18951.0,22357.0,6707.0,2793
710,University of Richmond,University of Richmond,VA,2,3165,0.5490909091,0.4509090909,0.0711,20.0,0.3297,0.8821,64500.0,21057.5,0.8957575758,73024.0,62974.0,12512.0,27108
711,Norwich University,Northfield,VT,2,3160,0.2662429379,0.7337570621,0.2397,21.0,0.6453,0.5911,53700.0,27000.0,0.8926553672,67624.0,54394.0,7544.0,14732
712,North Seattle College,Seattle,WA,1,3154,0.5414847162,0.45851528379999995,0.6311,29.0,,0.2583,37800.0,9500.0,0.3209606987,18408.0,10720.0,6943.0,3954
713,Southern Arkansas University Main Campus,Magnolia,AR,1,3153,0.5619419643,0.4380580357,0.1255,21.0,0.6945,0.3604,35700.0,16750.0,0.7940848214,29945.0,21252.0,6841.0,5361
714,University of Puerto Rico-Ponce,Ponce,PR,1,3150,0.565099946,0.434900054,0.0549,19.0,0.3336,0.4095,,5500.0,0.1112911939,17959.0,14469.0,5560.0,335
715,Fort Lewis College,Durango,CO,1,3150,0.5287990196,0.4712009804,0.1358,21.0,0.8321,0.4018,35200.0,18866.0,0.7886029412,41306.0,25064.0,7137.0,4825
716,Long Island University,Brookville,NY,2,3133,0.6839010047,0.31609899529999996,0.0674,23.0,0.8269,0.4732,49000.0,25000.0,0.7907375643,27459.0,49407.0,11455.0,23613
717,Siena College,Loudonville,NY,2,3132,0.5239417071,0.4760582929,0.0326,19.0,0.7785,0.7816,57100.0,26899.0,0.947258848,84065.0,52236.0,8574.0,14553
718,Cedarville University,Cedarville,OH,2,3132,0.5336832896,0.4663167104,0.015,19.0,0.7145,0.7168,41300.0,21460.5,0.9142607174,78221.0,37623.0,7349.0,17252
719,Baldwin Wallace University,Berea,OH,2,3131,0.5390070922,0.4609929078,0.0939,21.0,0.7805,0.6737,44400.0,27000.0,0.9477756286,56960.0,43771.0,7810.0,16113
720,University of Bridgeport,Bridgeport,CT,2,3129,0.7091152815,0.2908847185,0.2956,24.0,0.5389,0.4158,43100.0,27000.0,0.9316353887,32763.0,49646.0,8822.0,16851
721,Florida National University-Main Campus,Hialeah,FL,3,3117,0.7377845996,0.2622154004,0.6363,29.0,,0.6119,23800.0,22292.0,0.6978766948,13365.0,26118.0,4659.0,8263
722,Culinary Institute of America,Hyde Park,NY,2,3116,0.5238326848,0.4761673152,0.1755,21.0,0.9718,0.7288,43200.0,14000.0,0.9270428016,50484.0,44775.0,9043.0,22401
723,Stevens Institute of Technology,Hoboken,NJ,2,3114,0.2847358121,0.7152641879,0.0051,19.0,0.4388,0.8301,89200.0,27000.0,0.9589041096,117032.0,64255.0,12940.0,25070
724,Maryville University of Saint Louis,Saint Louis,MO,2,3112,0.6944219887,0.30557801129999995,0.2447,23.0,0.9188,0.7156,47200.0,24539.0,0.9151172191,54390.0,43329.0,8126.0,13141
725,St Catherine University,Saint Paul,MN,2,3100,0.9511031604,0.04889683960000002,0.3581,25.0,0.7013,0.5305,49200.0,26938.0,0.9332140727,41238.0,47149.0,7200.0,17619
